State,Overall Rank,Economic Well-Being Rank,Education Rank,Health Rank,Family & Community Rank
Alabama,46,46,48,42,43
Alaska,33,35,41,35,16
Arizona,45,39,44,45,46
Arkansas,44,36,38,46,45
California,36,47,35,11,41
Colorado,20,12,12,43,22
Connecticut,5,16,3,2,11
Delaware,25,18,29,18,28
Florida,40,44,30,47,35
Georgia,42,45,39,36,40
Hawaii,23,32,33,8,12
Idaho,22,14,37,30,13
Illinois,21,27,16,9,27
Indiana,30,24,23,31,32
Iowa,3,4,11,3,5
Kansas,19,9,20,24,24
Kentucky,35,38,27,16,37
Louisiana,48,50,45,50,48
Maine,17,23,15,20,9
Maryland,16,17,13,22,20
Massachusetts,2,11,1,4,8
Michigan,31,28,40,14,29
Minnesota,1,3,6,1,4
Mississippi,50,49,47,49,50
Missouri,28,21,26,32,26
Montana,24,19,24,39,15
Nebraska,9,5,8,21,21
Nevada,47,40,49,40,44
New Hampshire,4,7,4,25,1
New Jersey,7,20,2,12,14
New Mexico,49,48,50,44,49
New York,29,43,19,7,34
North Carolina,34,30,28,33,36
North Dakota,8,2,14,17,6
Ohio,26,25,17,19,31
Oklahoma,37,29,42,34,38
Oregon,32,41,34,23,23
Pennsylvania,18,22,10,13,25
Rhode Island,27,34,25,6,30
South Carolina,41,37,43,37,42
South Dakota,14,6,31,26,19
Tennessee,38,42,36,28,39
Texas,43,33,32,38,47
Utah,10,8,21,27,2
Vermont,6,10,5,10,3
Virginia,11,15,9,15,10
Washington,15,26,22,5,17
West Virginia,39,31,46,41,33
Wisconsin,13,13,7,29,18
Wyoming,12,1,18,48,7
